WNV_Present,Trap_type_CDC,Trap_type_GRAVID,Trap_type_SENTINEL,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_SALINARIUS,Species_CULEX_TERRITANS,Year,Week,Month,Lat,Lon,Mosquito_number
1,0,1,0,0,1,0,0,2013,29,7,41.79437467,-87.64891675,33
1,0,1,0,0,1,0,0,2013,29,7,41.79437554,-87.64891911,33
0,0,1,0,0,1,0,0,2013,30,7,41.97918417185854,-87.90603567116452,3
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,5
0,0,1,0,1,0,0,0,2013,30,7,41.97927587140582,-87.90599275843982,18
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,89
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,16
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,4
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,7
0,1,0,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,2
0,0,1,0,1,0,0,0,2013,30,7,41.97927587140582,-87.90599275843982,6
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,5
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,14
0,0,1,0,0,1,0,0,2013,30,7,41.97927587140582,-87.90599275843982,1
0,0,1,0,0,1,0,0,2013,30,7,41.7105424,-87.58455893,4
0,0,1,0,0,1,0,0,2013,30,7,41.70433842,-87.65708427,2
0,0,1,0,0,1,0,0,2013,30,7,41.69549407,-87.60908177,6
0,0,1,0,0,1,0,0,2013,30,7,41.7730854,-87.60016756,2
0,0,1,0,0,1,0,0,2013,30,7,41.67688732,-87.66122193,4
0,0,1,0,0,1,0,0,2013,30,7,41.89613109,-87.65676212,1
0,0,1,0,0,1,0,0,2013,30,7,41.86691518,-87.65491884,42
0,0,1,0,0,1,0,0,2013,30,7,41.66238673,-87.59017973,77
0,0,1,0,0,1,0,0,2013,30,7,42.01052929,-87.66084507,1
0,0,1,0,1,0,0,0,2013,30,7,41.65706888,-87.54604887,3
0,0,1,0,0,1,0,0,2013,30,7,41.65706888,-87.54604887,17
0,0,1,0,0,1,0,0,2013,30,7,41.90477345,-87.75568575,1
0,0,1,0,0,0,0,1,2013,30,7,41.90477345,-87.75568575,2
